bout_id,event_id,bout_order,bout_datetime_utc,fighter_id,opponent_id,corner,weight_class,fighter_age_years,height_diff_cm,reach_diff_cm,stance_matchup,days_since_last_fight,prior_fight_count,recent_form_win_rate_l3,recent_form_win_rate_l5,opponent_strength_avg_l3,opponent_strength_avg_l5,finish_rate_all,decision_rate_all,sig_strikes_landed_per_min_all,sig_striking_accuracy_all,sig_striking_defense_all,takedown_attempts_per_15m_all,takedown_accuracy_all,takedown_defense_all,submission_attempts_per_15m_all,avg_fight_duration_seconds_all,rematch_flag,weight_class_experience
81a18de517a3336a,b0a6124751a56bc4,7,2022-07-30T00:00:00Z,029afd138865d20a,519e4fe37ce9ff75,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
5a2b86570110191b,b0a6124751a56bc4,8,2022-07-30T00:00:00Z,1a9480fc288e55d7,3329d692aea4dc28,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
5a2b86570110191b,b0a6124751a56bc4,8,2022-07-30T00:00:00Z,3329d692aea4dc28,1a9480fc288e55d7,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
189b9af881b96de6,b0a6124751a56bc4,9,2022-07-30T00:00:00Z,7cbf7c78d3b34218,e132d47bd9efbbe0,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
189b9af881b96de6,b0a6124751a56bc4,9,2022-07-30T00:00:00Z,e132d47bd9efbbe0,7cbf7c78d3b34218,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
e492dc60d8e44866,b0a6124751a56bc4,10,2022-07-30T00:00:00Z,c32aeb1a59e6272d,a01a62132460a98d,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
e492dc60d8e44866,b0a6124751a56bc4,10,2022-07-30T00:00:00Z,a01a62132460a98d,c32aeb1a59e6272d,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
0366e183296fea07,b0a6124751a56bc4,11,2022-07-30T00:00:00Z,f9ab66e67240db7b,a20f234df70f2182,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
0366e183296fea07,b0a6124751a56bc4,11,2022-07-30T00:00:00Z,a20f234df70f2182,f9ab66e67240db7b,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
1ed550f094ca7745,b0a6124751a56bc4,12,2022-07-30T00:00:00Z,8c57c7b8c3bab0eb,260bd4cef10b033f,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
1ed550f094ca7745,b0a6124751a56bc4,12,2022-07-30T00:00:00Z,260bd4cef10b033f,8c57c7b8c3bab0eb,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
66f7bb31d24b3b36,b0a6124751a56bc4,13,2022-07-30T00:00:00Z,2c010b26a3306969,9edf2c9082cc2cd8,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
66f7bb31d24b3b36,b0a6124751a56bc4,13,2022-07-30T00:00:00Z,9edf2c9082cc2cd8,2c010b26a3306969,blue,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
a8bc6e005077bb0b,8f6a18831a120817,1,2022-08-06T00:00:00Z,5444c5a201d3ee5a,dea070ed4a2a8281,red,,30.0,0.0,0.0,Unknown_vs_Unknown,,0,,,,,,,,,,,,,,,0,0
