bout_id,event_id,promotion,bout_order,bout_datetime_utc,bout_completed,weight_class,winner_fighter_id,fighter_id,opponent_fighter_id,corner,result_score,k_factor,days_since_last_fight,days_since_last_weight_class_fight,pre_overall_elo,post_overall_elo,pre_weight_class_elo,post_weight_class_elo
81a18de517a3336a,b0a6124751a56bc4,UFC,7,2022-07-30T00:00:00Z,1,,519e4fe37ce9ff75,519e4fe37ce9ff75,029afd138865d20a,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
81a18de517a3336a,b0a6124751a56bc4,UFC,7,2022-07-30T00:00:00Z,1,,519e4fe37ce9ff75,029afd138865d20a,519e4fe37ce9ff75,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
5a2b86570110191b,b0a6124751a56bc4,UFC,8,2022-07-30T00:00:00Z,0,,,1a9480fc288e55d7,3329d692aea4dc28,red,,32.000000,,,1500.000000,1500.000000,1500.000000,1500.000000
5a2b86570110191b,b0a6124751a56bc4,UFC,8,2022-07-30T00:00:00Z,0,,,3329d692aea4dc28,1a9480fc288e55d7,blue,,32.000000,,,1500.000000,1500.000000,1500.000000,1500.000000
189b9af881b96de6,b0a6124751a56bc4,UFC,9,2022-07-30T00:00:00Z,1,,7cbf7c78d3b34218,7cbf7c78d3b34218,e132d47bd9efbbe0,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
189b9af881b96de6,b0a6124751a56bc4,UFC,9,2022-07-30T00:00:00Z,1,,7cbf7c78d3b34218,e132d47bd9efbbe0,7cbf7c78d3b34218,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
e492dc60d8e44866,b0a6124751a56bc4,UFC,10,2022-07-30T00:00:00Z,1,,c32aeb1a59e6272d,c32aeb1a59e6272d,a01a62132460a98d,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
e492dc60d8e44866,b0a6124751a56bc4,UFC,10,2022-07-30T00:00:00Z,1,,c32aeb1a59e6272d,a01a62132460a98d,c32aeb1a59e6272d,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
0366e183296fea07,b0a6124751a56bc4,UFC,11,2022-07-30T00:00:00Z,1,,f9ab66e67240db7b,f9ab66e67240db7b,a20f234df70f2182,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
0366e183296fea07,b0a6124751a56bc4,UFC,11,2022-07-30T00:00:00Z,1,,f9ab66e67240db7b,a20f234df70f2182,f9ab66e67240db7b,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
1ed550f094ca7745,b0a6124751a56bc4,UFC,12,2022-07-30T00:00:00Z,1,,8c57c7b8c3bab0eb,8c57c7b8c3bab0eb,260bd4cef10b033f,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
1ed550f094ca7745,b0a6124751a56bc4,UFC,12,2022-07-30T00:00:00Z,1,,8c57c7b8c3bab0eb,260bd4cef10b033f,8c57c7b8c3bab0eb,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
66f7bb31d24b3b36,b0a6124751a56bc4,UFC,13,2022-07-30T00:00:00Z,1,,2c010b26a3306969,2c010b26a3306969,9edf2c9082cc2cd8,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
66f7bb31d24b3b36,b0a6124751a56bc4,UFC,13,2022-07-30T00:00:00Z,1,,2c010b26a3306969,9edf2c9082cc2cd8,2c010b26a3306969,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
a8bc6e005077bb0b,8f6a18831a120817,UFC,1,2022-08-06T00:00:00Z,1,,5444c5a201d3ee5a,5444c5a201d3ee5a,dea070ed4a2a8281,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
a8bc6e005077bb0b,8f6a18831a120817,UFC,1,2022-08-06T00:00:00Z,1,,5444c5a201d3ee5a,dea070ed4a2a8281,5444c5a201d3ee5a,blue,0.000000,32.000000,,,1500.000000,1484.000000,1500.000000,1484.000000
a6b328733d610e2b,8f6a18831a120817,UFC,2,2022-08-06T00:00:00Z,1,,b997be68943010fc,b997be68943010fc,6d4b63c767106d3a,red,1.000000,32.000000,,,1500.000000,1516.000000,1500.000000,1516.000000
